yishuv_name,yishuv_id
מ.א. גליל תחתון,0049
ד.נ. גליל מערבי,0376
מ.א. מטה אשר,0376
מ.א. גלבוע,0095
ד.נ. עמק יזרעאל,0104
מכללת עמק יזרעאל,0104
מ.א. מנשה,0868
מקווה ישראל,0022
מקווה ישראל,0022
מ.א. אשכול,0399
מועצה אזורית אשכול,0399
מ.א. אשכול,0399
מ.א. מרחבים,2021
מ.א. מרחבים,2021
מועצה אזורית מרחבים,2021
משגב,1228
"אז""ת שער בנימין",3575
"אז""ת שער בנימין",3575
מ א בקעת הירדן,3612
כאוכב אבו אל היג'א,0505
קודייראת א-צאנע(שבט),0964
אבו קורינאת (שבט),0968
ח'ואלד (שבט),0986
מחנה יתיר,1196
קבועה (שבט),1234
שני,1287
"נתב""ג",1748
"נתב""ג",1748
"נתב""ג",1748
"נתב""ג",1748
"נתב""ג",1748
מרכז למחקר גרעיני,1751
0,NA
אין עיר,NA
ישראל,NA
the hasmonan,NA
ישראל,NA
